,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
KYAT1,72.57394979818655,0.2160504589759712,0.20925364151923695,1.0324812385934483,0.30184673218024816,0.5435122884255572
MTM1,1440.466055778756,-0.3206694031403186,0.17147454889340363,-1.8700699620423629,0.06147410310187254,0.23344439017756846
OBP2B,5.946739653426472,-0.4763497627783692,0.9816591676000199,-0.4852496451930039,0.6274992699987458,0.7978770573688424
TRMT61B,477.9810315031679,-0.050304327198150506,0.10644615677680243,-0.47258002281500133,0.6365128377803366,0.8034242343262242
INSR,4781.770430930241,-0.3195917476841127,0.13623686423823378,-2.3458536679562085,0.01898355886043005,0.12299006631029245
MFN1,2521.375144141724,-0.03814647732757641,0.1117087256274716,-0.3414816265542946,0.732741034411027,0.8619450422565555
GIMAP8,235.24871920137838,0.44455950982073367,0.24601788720042397,1.8070210864731284,0.07075899147257257,0.2527446071547062
HSFX1,7.0700176711695635,-0.5053762690928144,0.9538415158963411,-0.5298325357728885,0.5962280448260809,0.7789945883651763
NRTN,27.098682690067125,-0.13766664507798818,0.3404317725520484,-0.40438835672114126,0.6859271608004935,0.8339601339551534
KCNMB3,212.66912556495376,0.06627724292783158,0.16323144233814982,0.40603233040440706,0.6847188454336246,0.8336885309512249
FUT3,4350.8897588390655,-0.5458213727456094,0.36597833195303653,-1.4914035206205891,0.13585558435485348,0.35464906515702616
KCNG3,16.31429577290159,0.5714029201143408,0.520728129617729,1.0973152545721174,0.2725036047308075,0.5162503944144852
ATP6V0E2,33.434699029683145,0.34196105953367917,0.2796206976390433,1.2229461639320771,0.22135003083141247,0.4593888282389337
PRKCE,364.89010428468725,0.543087978038676,0.20909340434109605,2.597346290047158,0.009394715756176881,0.0827487736921532
JAGN1,396.3510998455452,0.04276451622727779,0.1428635068559807,0.2993382786717414,0.7646819505922954,0.8808180825087764
TADA3,453.94730843539753,0.1443495535484832,0.11987275841368047,1.2041898047455735,0.22851622562845608,0.46778501514883686
SOCS5,846.3468373174708,0.47504392706015913,0.1560748258257269,3.043693462715076,0.002336931276209825,0.038895006687080756
C1GALT1C1,421.50927667789057,-0.36660611654091485,0.17538670880744,-2.0902730830271627,0.036593275778739276,0.17474966591206692
BBLN,24.599212984297473,-0.03768866004605742,0.17058095117812813,-0.22094295867011124,0.8251368476802273,0.9149399301430738
MORN4,56.61938831682077,0.24431623228511748,0.2777074742601045,0.8797610973058927,0.3789887434226388,0.6157885053653759
