,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
IQCF3,0.2046854530513061,0.5236768444853812,4.743329449990442,0.11040279828896059,0.9120899339836521,0.9999760324314529
POTEB2,0.8114982080256581,-2.045961556519362,3.3696516538936603,-0.6071730156899857,0.5437360980843171,0.9999760324314529
FAM90A15,6.312263296281172,-0.583815033532222,1.5046579052843263,-0.3880051614934373,0.6980122139423932,0.9999760324314529
ANKRD66,0.11261609039241305,-0.7529333815201749,4.761617171040963,-0.15812555996717642,0.8743578600422335,0.9999760324314529
ACBD6,1765.3188459492194,0.06735486229232521,0.11265552296544994,0.5978833573297788,0.549917765394599,0.9999760324314529
OR4F3,204.00701201048656,-0.6470993918693654,0.6575662811476033,-0.9840823813837126,0.32507500894758967,0.9999760324314529
SPATA31C1,65.7578592960377,-0.741103489168542,0.6252541531263246,-1.1852835930204713,0.23590533827957427,0.9999760324314529
SSU72L6,0.053309756190838775,-0.3237896766501399,4.770425412218517,-0.06787438198296018,0.9458856319281091,0.9999760324314529
OR5H6,0.6336080295921814,-0.7697014626539986,2.220771965275698,-0.34659184945107313,0.7288979699983447,0.9999760324314529
SPDYE21,660.1509639205957,0.17278392226657033,0.2910312161615906,0.5936954961238066,0.552715795979206,0.9999760324314529
RBBP8P1,0.40477240636213496,-0.21693912757934852,1.7862474646980897,-0.12144964898019626,0.9033348936876509,0.9999760324314529
ANKRD18B,231.69141205114428,1.1440200681944401,0.9682440349001867,1.181541044363236,0.23738785830777676,0.9999760324314529
MBD3L2,0.10627822088294056,-0.21692193794046458,4.773045169980457,-0.045447283697370236,0.9637507929580247,0.9999760324314529
USP17L1,93.4563519591621,-0.7523408089779001,0.7913586816414414,-0.9506950848348436,0.34175918403460825,0.9999760324314529
CCDC192,0.241738796097203,0.20267909446432963,1.8557859290281373,0.10921469512944919,0.9130322050030646,0.9999760324314529
TEX48,0.5187459870998399,1.2147023849699026,1.9949436011190558,0.6088905893322097,0.5425969623407493,0.9999760324314529
PRB4,31.066095117487226,0.6613455309680227,0.5888816515374129,1.1230533830378753,0.2614148229829827,0.9999760324314529
SETSIP,4.386826124204046,-0.7795020919942922,0.590174812041589,-1.320798644892628,0.18656851168538102,0.9999760324314529
ANKRD63,0.0887178139064583,-0.003191069524656727,4.778885880676665,-0.0006677434038673652,0.9994672178870692,0.9999760324314529
YY2,7.911038975021929,-0.34158720793528363,0.5241918969639985,-0.6516453419323722,0.5146299902731287,0.9999760324314529
STMND1,17.047318619457094,-1.5092030489687034,0.9278733451676662,-1.626518378643576,0.10383942689876134,0.9999760324314529
HSBP1,1189.5256345199493,0.21403447048143712,0.15491338448458186,1.3816396252238583,0.16708238077774884,0.9999760324314529
KRTAP21-3,0.05289038172977969,-0.21692347427497966,4.773045292709671,-0.04544760440599791,0.9637505373336908,0.9999760324314529
OR5H1,0.05601358027848528,-0.43065485480229576,4.76798763525562,-0.09032214169725035,0.9280312255323926,0.9999760324314529
PLSCR5,0.15187962209652203,0.04538010078010899,4.753786959603927,0.009546094758922463,0.9923834340563789,0.9999760324314529
CFAP97D1,0.25609456934837055,-0.061492062027548935,3.137125615895768,-0.019601402543771147,0.9843613449809138,0.9999760324314529
